id,sheet,item,verify,severity,status,closed_date,closed_by,as_found,tooling_needed
OI-16,E-003,GS10 exact model+frame (enables wire-gauge/fuse tables); M1 nameplate; conductor gauges; PE points + ground resistance ≤0.1Ω check.,Photograph GS10 nameplate and motor nameplate; measure PE resistance between drive/motor grounds and supply PE.,safety_code,open,,,,camera
OI-17,E-003,RFI jumper in/out per grounding topology (symmetrical vs corner-grounded unknown).,Determine bench PE bonding strategy; verify RFI jumpers per GS10_UM.txt L1693-1718 if present.,safety_code,open,,,,visual inspection
OI-18,E-006,Fallback DI wiring physical presence (expected ABSENT — P02.0x factory default).,Trace the PLC output block; confirm zero hardwired leads to any GS10 digital inputs (fallback path should be unpopulated).,functional,open,,,,multimeter (continuity)
OI-19,"E-003, E-005, E-006","Wire-numbering convention adopted: W[sheet-digit][line-2d] (see wires.yaml convention + the E-001 key). E-005 renumbered W200..W205 → W500..W505. Rails (W24, W0V) and E-007 mnemonic labels (485+/485-/SGND/SH) are exempt. All numbers PROPOSED until as-built.",Read the actual wire markers on the panel; replace proposed W-numbers with as-built (mirror of OI-03).,functional,open,,,,visual inspection
OI-20,E-007,GS10 comms line params: 2026-05-20 export = 38.4k/8N2 vs 2026-05-26 bench sniff = 9600/8N1 — adjudicate.,Fresh keypad readback of the GS10 serial config; update print if params differ from current 9600/8N1 assumption.,functional,open,,,,GS10 keypad
OI-21,E-003,RESOLVED (2026-07-11): no separate motor contactor — the MLC control relay IS the single-phase drive-supply switch (2 NO contacts). See E-003.,Confirm whether a separate motor contactor exists between CB1 and VFD1; the device labeled 'MLC' (Q1) is a Schneider TeSys CA3KN22BD CONTROL RELAY — it has no main power poles.,functional,closed,2026-07-11,,no separate motor contactor — the MLC control relay IS the single-phase drive-supply switch (2 NO contacts). See E-003.,visual inspection
OI-22,"E-006, E-007",GS10 control map (full-res photo): top run/DI connector (FWD/REV/DI3-5/+24V/DCM) confirmed EMPTY; bottom analog/output row (+10V/ACM/AI/AO1/DO1/DOC) confirmed WIRED. Identify which bottom-row terminals are used (speed reference +10V/AI/ACM vs feedback AO1/DO1/DOC) and to what. Confirm nothing on the top run/DI row.,Map which of FWD/REV/DI3/DI4/DI5/AI/AO1/DO1/DOC are landed and to what; reconcile hybrid Modbus + hardwired-terminal control.,functional,open,,,,visual inspection
OI-23,panel,Siemens CPU 1212C AC/DC/RLY (S7-1200) observed on the panel (photo wire_2) — role vs CV-101 unknown.,Confirm whether the Siemens CPU 1212C controls any CV-101 function before referencing it on any CV-101 sheet; not drawn until evidenced.,informational,open,,,,visual inspection
OI-24,panel,"Device labeled ""PMC 192.x"" observed on the panel (photo wire_2).","Identify the device (network device / meter?) and its relationship, if any, to CV-101.",informational,open,,,,multimeter
OI-25,E-004,"DC +/- distribution block: which color (blue vs white) is +24V vs 0V, circuit count, PS1 branch fusing; PLUS PS1's AC input source — which leg/circuit feeds L and N (120 V leg vs the 230 V 1φ supply) is not documented.","Trace/meter the distribution block conductors against PS1 +V/-V output; confirm color-to-polarity mapping, circuit count, and any branch fusing (photo wire_1/wire_2). Separately, identify the branch circuit feeding PS1.L/PS1.N and its voltage (single leg of the 230 V 1φ supply, or a dedicated 120 V circuit).",functional,open,,,,multimeter
OI-26,E-006,MLC (Q1) aux contacts (full-res photo): coil A1/A2 wired + NO contacts 13-14 & 43-44 in use confirmed; NC 21-22/31-32 appear unused. Trace where 13-14 and 43-44 land in the control circuit.,"Trace each aux contact to its destination in the control circuit; confirm function (e.g., interlock feedback, seal-in, indicator).",functional,open,,,,multimeter (continuity)
OI-27,E-003,RESOLVED (2026-07-11): motor is 230 V (technician-confirmed) — the GS10 is a standard 230 V 1φ-in / 230 V 3φ-out drive; the earlier reported 480 V was a misstatement. E-003 letters 230 V 3φ output.,"Closed by technician confirmation — review/PHOTO_EVIDENCE_V7.md §3 ('it's 230'), not PHOTO_EVIDENCE_V6.md (which predates this confirmation and still shows 480 V/pending). Exact GS10 model/frame still tracked under OI-16 (for wire-gauge/fuse tables).",functional,closed,2026-07-11,,motor is 230 V (technician-confirmed) — the GS10 is a standard 230 V 1φ-in / 230 V 3φ-out drive; the earlier reported 480 V was a misstatement. E-003 letters 230 V 3φ output.,visual inspection
OI-28,E-004,"PS1 enclosure/chassis ground and DC-0V-to-PE bonding not documented — is PS1's DIN-rail/enclosure bonded to PE, and is the 24 VDC 0V rail (DB1 0V-bus) intentionally tied to PE anywhere (SELV/PELV grounding scheme), or left floating?",Meter PS1 enclosure/DIN rail to the PE bus for continuity; meter DB1 0V-bus to the PE bus for continuity/resistance; confirm whether a deliberate 0V-PE bond exists or the 24 VDC system is intentionally floating.,safety_code,open,,,,multimeter
